Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer State,Customer City,Customer Zip Code,Order ID
Black Tea,Pepsi,Tea,256,7358,1130,6228,5/3/21,Ronald Kramer DDS,Virginia,Omarside,44534,1-63624-130-1
Lemonade,Pepsi,Soft Drink,504,8215,2872,5343,10/10/21,Douglas King,Hawaii,Lake Erikside,86420,0-262-75407-X
Vodka,Coca-Cola,Alcoholic,155,1623,673,950,10/29/22,Darius Davis,Utah,West Samuel,89834,0-628-84908-7
Coffee,Pepsi,Coffee,858,3677,707,2970,8/24/22,Nicholas Jackson,Pennsylvania,Lindaland,40389,0-393-87144-4
Lemonade,Dr. Pepper,Soft Drink,416,2954,5571,-2617,8/20/21,Mark Wells,Missouri,Williamsberg,6231,1-888031-24-7
Beer,Dr. Pepper,Alcoholic,420,1090,6374,-5284,4/11/21,Eric Edwards,New Hampshire,New Nicholasberg,17087,1-4501-2475-5
Herbal Tea,Pepsi,Tea,234,7438,4861,2577,1/30/21,Peter Ortiz DDS,Texas,Terryhaven,97502,0-287-83602-9
Green Tea,Dr. Pepper,Tea,496,1538,6079,-4541,9/3/22,John Miller,Nebraska,South Stacy,89181,0-258-97169-X
Energy Drink,Dr. Pepper,Soft Drink,704,7872,2689,5183,7/11/21,Wayne Walker,Hawaii,South Jessicahaven,46053,1-154-04091-7
Lemonade,Coca-Cola,Soft Drink,340,3625,1263,2362,12/23/20,Steven Landry,Kentucky,South Lisa,98139,1-4030-6566-7
Beer,Coca-Cola,Alcoholic,393,1016,4988,-3972,3/12/23,Denise Davenport,Illinois,West Jillmouth,30715,0-436-81405-6
Green Tea,Coca-Cola,Tea,104,2704,3074,-370,10/7/21,Dennis Morris,New York,Lanceport,72617,1-03-723521-5
Energy Drink,Dr. Pepper,Soft Drink,474,9814,4239,5575,12/21/20,Anthony Myers,Connecticut,Port Jack,45840,1-61511-377-0
Herbal Tea,Coca-Cola,Tea,120,9620,5738,3882,2/2/21,Catherine Martinez,Michigan,North Martinmouth,91183,0-7914-7090-3
Green Tea,Pepsi,Tea,337,1998,1548,450,11/1/22,Christina Jackson,South Carolina,Jeffreymouth,82555,0-87745-132-X
Wine,Pepsi,Alcoholic,941,2813,1694,1119,8/7/20,Jill Shaw,Iowa,Ronaldchester,97492,1-967927-25-1
Green Tea,Coca-Cola,Tea,114,9324,7106,2218,2/3/21,Henry Neal,Wyoming,Perezton,68088,1-66989-457-6
Black Tea,Dr. Pepper,Tea,860,5465,5864,-399,2/22/23,Katherine Mccarthy,Texas,Lake Timothy,35667,1-343-09530-1
Coffee,Pepsi,Coffee,910,3823,1154,2669,5/30/23,Andrew French,Pennsylvania,Randyview,46635,0-440-93894-5
Cola,Dr. Pepper,Soft Drink,576,7839,5426,2413,11/6/21,Michael Bradley,Illinois,Ericborough,58636,0-420-78219-2
Green Tea,Pepsi,Tea,940,2278,5597,-3319,2/10/22,Nicole Pierce,Kentucky,Elizabethport,89657,1-4079-5017-7
Vodka,Pepsi,Alcoholic,650,8721,1002,7719,4/7/23,Roger Brady,Alaska,North Samanthashire,38642,1-5446-2854-4
Coffee,Pepsi,Coffee,250,3633,1802,1831,4/15/21,Jasmine Haas,Utah,Zacharyside,68069,0-88146-545-3
Green Tea,Dr. Pepper,Tea,487,2736,3239,-503,9/1/21,Emily Johnson,South Dakota,Joyceview,44291,0-924740-28-0
Wine,Pepsi,Alcoholic,282,8120,3593,4527,9/11/21,Jennifer Lucas,South Carolina,Munozville,99553,1-898703-27-2
Vodka,Dr. Pepper,Alcoholic,382,4288,7919,-3631,10/29/20,Craig Soto,Virginia,West Julianborough,77717,0-218-25014-2
Herbal Tea,Dr. Pepper,Tea,602,6884,1202,5682,3/22/21,Bonnie Hodges,Texas,Port Carolynberg,97451,1-382-45092-3
Energy Drink,Dr. Pepper,Soft Drink,216,4162,3949,213,9/21/21,Dr. Taylor Hurst DVM,Michigan,Port Darren,5488,0-7565-9806-0
Green Tea,Coca-Cola,Tea,160,2841,3663,-822,3/17/23,Brittney Harmon,Colorado,Erinfort,7998,0-656-46440-2
Herbal Tea,Pepsi,Tea,272,1786,7922,-6136,4/21/23,Anthony Hill,New Mexico,Port Jessica,55227,0-331-24038-6
Black Tea,Coca-Cola,Tea,796,4388,4912,-524,11/12/20,Gabriel Parker,Tennessee,Shafferfort,38610,0-908401-59-0
Lemonade,Coca-Cola,Soft Drink,530,4070,6228,-2158,10/17/21,Debra Fox,Illinois,North Davidfurt,29709,1-4150-8571-4
Lemonade,Dr. Pepper,Soft Drink,537,5088,7750,-2662,5/21/23,Jeanette Glover,Oklahoma,New Coreyshire,73072,1-71465-804-X
Wine,Pepsi,Alcoholic,781,1241,6127,-4886,6/21/22,Matthew Becker,Nebraska,Yangton,47920,1-62953-961-9
Green Tea,Dr. Pepper,Tea,626,4000,2959,1041,3/30/20,Mr. Alex Singh,Nevada,West Brett,83510,0-599-98673-5
Lemonade,Pepsi,Soft Drink,433,6745,5659,1086,2/24/20,Jeremy Moore,Texas,Millerside,63211,1-9793-9587-X
Cola,Dr. Pepper,Soft Drink,190,9853,7545,2308,5/26/22,Brittany Shepard,South Dakota,Edwardsberg,67756,0-355-38027-7
Energy Drink,Dr. Pepper,Soft Drink,346,1565,7661,-6096,5/18/20,Emily Coleman,Nevada,Port Mariatown,84643,0-691-57205-4
Green Tea,Pepsi,Tea,290,7764,1295,6469,10/24/22,Noah Waters,Kansas,Anthonyland,14422,1-5272-2331-0
Energy Drink,Dr. Pepper,Soft Drink,295,5685,7892,-2207,5/24/22,Margaret Farley,Maryland,Chrisside,73076,0-480-10916-8
Coffee,Dr. Pepper,Coffee,405,4828,5048,-220,4/1/23,Victor King,Alaska,Lisafurt,30714,0-13-163506-9
Coffee,Pepsi,Coffee,289,4582,5788,-1206,5/4/22,Jeffrey Olson,New Jersey,Bushmouth,85365,0-281-56143-5
Wine,Dr. Pepper,Alcoholic,898,3573,4724,-1151,3/31/20,Phillip Garcia,New Jersey,Susanberg,4572,1-176-60224-1
Herbal Tea,Pepsi,Tea,440,9853,6700,3153,11/7/21,Lauren Castro,Colorado,Nathanside,75514,0-404-41363-3
Coffee,Dr. Pepper,Coffee,793,5092,7230,-2138,1/30/20,Benjamin Graves,New Mexico,New Dannychester,83725,1-309-41220-0
Beer,Coca-Cola,Alcoholic,812,9716,5796,3920,8/15/22,Erika Burke,Connecticut,Lambertberg,20023,0-224-47841-9
Green Tea,Pepsi,Tea,164,3726,668,3058,2/28/23,Spencer Ward,Missouri,Velasquezhaven,54366,0-8418-0854-6
Lemonade,Coca-Cola,Soft Drink,208,2907,4865,-1958,1/24/22,Justin Orr,Virginia,South Michellehaven,86152,1-4916-1159-6
Green Tea,Pepsi,Tea,700,4314,3178,1136,6/8/23,Whitney Steele,Michigan,Lake Joseburgh,54130,0-272-61744-X
Wine,Pepsi,Alcoholic,832,7966,2744,5222,11/30/20,Matthew Davis,Washington,Port Ellenfurt,39415,1-391-77373-X
Cola,Coca-Cola,Soft Drink,242,4288,5084,-796,10/7/21,Amanda Reed,Texas,Lauraside,87405,1-60179-041-4
Beer,Dr. Pepper,Alcoholic,714,4215,1732,2483,6/20/21,Thomas Flynn,Missouri,Lake Stevenfurt,64747,1-327-84965-8
Black Tea,Pepsi,Tea,915,9094,4731,4363,10/14/21,Thomas Delgado,Washington,East Kathybury,60675,1-971804-49-5
Green Tea,Pepsi,Tea,306,5692,7421,-1729,7/4/21,David Martin,Missouri,Leefort,73132,0-923304-50-9
Energy Drink,Dr. Pepper,Soft Drink,379,5546,6738,-1192,4/8/21,Philip Shah,Alaska,Morenotown,75931,1-86772-212-7
Cola,Coca-Cola,Soft Drink,288,3656,4638,-982,4/21/20,Jennifer Myers,Ohio,Myersland,35665,0-515-07575-2
Black Tea,Coca-Cola,Tea,393,8645,5617,3028,1/20/23,Jimmy White,Idaho,West Jennifer,73074,0-364-46177-2
Vodka,Dr. Pepper,Alcoholic,423,8759,3401,5358,9/19/22,Amanda West,Wisconsin,New Josephshire,19943,0-7174-3862-7
Herbal Tea,Pepsi,Tea,172,3942,1833,2109,5/10/23,Christine Deleon,Kansas,West Amyside,5117,1-393-45776-2
Herbal Tea,Dr. Pepper,Tea,391,8987,6752,2235,4/13/22,Benjamin Williams,Georgia,Lake Johnborough,20024,0-497-69936-2
Coffee,Coca-Cola,Coffee,936,8715,4232,4483,2/7/23,Michael Smith,Utah,Lake Matthewborough,92313,1-06-585411-0
Coffee,Coca-Cola,Coffee,529,1444,4886,-3442,1/29/20,Andre Villarreal,Maine,West Amberburgh,24831,0-567-85523-6
Beer,Pepsi,Alcoholic,502,1876,7763,-5887,9/28/22,Hayden Alvarez,North Dakota,East Tabithaburgh,80694,0-332-66820-7
Beer,Coca-Cola,Alcoholic,292,3506,1680,1826,2/8/22,Erin Cooper,Minnesota,North Maryland,62169,0-13-918655-7
Energy Drink,Coca-Cola,Soft Drink,633,4181,5039,-858,3/13/21,Curtis Taylor,Alaska,West Judithborough,57419,1-4183-8005-9
Coffee,Coca-Cola,Coffee,259,8032,2309,5723,12/15/22,Mary Willis,Virginia,Powellfurt,2928,1-872812-16-3
Lemonade,Pepsi,Soft Drink,338,2797,7877,-5080,2/3/20,Meagan Delacruz,New Hampshire,Karimouth,42212,0-483-47270-0
Energy Drink,Dr. Pepper,Soft Drink,448,1963,6882,-4919,1/8/22,Ryan White,Maine,South Johnside,29790,1-82614-445-5
Herbal Tea,Coca-Cola,Tea,981,7753,2595,5158,3/22/21,Katelyn Rubio,New Mexico,Brianview,49245,0-946650-74-8
Vodka,Coca-Cola,Alcoholic,571,5470,4827,643,7/1/20,Kenneth Patton,Alabama,West Rebecca,33164,1-246-50604-1
Herbal Tea,Pepsi,Tea,229,5327,1493,3834,1/20/22,Justin Smith,Washington,Port Valerie,54502,1-968368-18-3
Energy Drink,Pepsi,Soft Drink,965,4785,1629,3156,7/12/21,Alexandra Graham,Arizona,Aaronmouth,71744,0-430-57585-8
Wine,Dr. Pepper,Alcoholic,162,4733,6259,-1526,12/2/20,Ruth Harris,New Hampshire,North Brandonfort,77570,1-68402-041-7
Vodka,Pepsi,Alcoholic,316,2069,4821,-2752,11/11/22,Tonya Cannon,Oklahoma,Smithton,19118,0-627-11184-X
Black Tea,Coca-Cola,Tea,431,9231,3517,5714,3/20/21,Christian Maxwell,Oklahoma,West Nicholaston,49137,0-11-001599-1
Energy Drink,Pepsi,Soft Drink,965,8595,1202,7393,6/14/22,Virginia Mcdonald,Ohio,Brownchester,38755,0-18-524881-0
Cola,Coca-Cola,Soft Drink,827,6787,1016,5771,7/8/23,Melissa Rodriguez,North Carolina,Daniellefurt,82631,1-989598-45-5
Green Tea,Coca-Cola,Tea,196,9602,3580,6022,4/11/20,Ashley Torres,Mississippi,North Tonya,38544,0-01-670958-6
Black Tea,Coca-Cola,Tea,668,5973,5998,-25,12/3/22,Heather Crawford,Wisconsin,North Danielview,22136,1-217-96209-3
Beer,Dr. Pepper,Alcoholic,984,7641,2485,5156,8/1/21,Terri Farrell,Illinois,Bethanyfort,99580,1-77067-971-5
Herbal Tea,Dr. Pepper,Tea,316,1321,2747,-1426,1/3/23,Jeanne Marshall,Maine,Powellburgh,84762,0-18-279159-9
Black Tea,Pepsi,Tea,638,6873,3598,3275,5/13/20,Stephanie Sharp,Louisiana,Michaelchester,82336,0-7549-9861-4
Herbal Tea,Coca-Cola,Tea,164,2158,1023,1135,5/18/22,Matthew Griffith,North Carolina,Angelamouth,53203,1-03-882760-4
Coffee,Coca-Cola,Coffee,539,6145,2999,3146,10/21/20,Samuel Torres,Washington,Anthonyville,70362,1-01-494408-2
Wine,Pepsi,Alcoholic,750,1779,4296,-2517,11/18/22,Joseph Price,West Virginia,New Jessica,36805,0-85686-634-2
Green Tea,Pepsi,Tea,262,4711,3717,994,2/22/23,Patrick Willis,Missouri,Margaretburgh,5121,1-67593-885-7
Energy Drink,Coca-Cola,Soft Drink,749,6456,1667,4789,3/30/21,Brett Alvarado,Mississippi,New Nicoleport,19459,1-332-02372-X
Beer,Pepsi,Alcoholic,632,7515,2278,5237,4/1/21,Alison Davis,North Dakota,Lake Deborahhaven,5119,1-81271-904-3
Coffee,Pepsi,Coffee,331,6189,2274,3915,12/24/22,Amanda Jackson,New York,New Dennis,39157,1-79415-436-1
Vodka,Dr. Pepper,Alcoholic,477,2742,3790,-1048,6/3/22,Samantha Pearson,Tennessee,East Nathan,19915,0-13-025739-7
Energy Drink,Dr. Pepper,Soft Drink,307,3027,3868,-841,2/26/20,David Hernandez,Illinois,Wongside,82405,1-72520-770-2
Lemonade,Coca-Cola,Soft Drink,796,6527,7877,-1350,1/5/21,Frederick Miller,Louisiana,New Sarahborough,80878,0-374-84766-5
Lemonade,Coca-Cola,Soft Drink,686,1571,2848,-1277,9/11/21,Jennifer Hayes,North Carolina,Lake Shannon,32842,1-02-034721-X
Herbal Tea,Coca-Cola,Tea,729,9375,3167,6208,3/15/22,Mary Smith,Pennsylvania,Lake Zacharyside,18959,1-994168-22-6
Wine,Pepsi,Alcoholic,504,9689,2126,7563,7/29/21,Gary Kemp,Ohio,Ballmouth,3668,1-69623-559-6
Black Tea,Pepsi,Tea,470,3447,2447,1000,8/1/21,Joseph Beard,Michigan,New Noah,5254,1-146-10360-3
Lemonade,Dr. Pepper,Soft Drink,479,5078,3429,1649,11/7/22,Gina Mcknight,Mississippi,Adamsstad,7587,0-09-356691-3
Green Tea,Pepsi,Tea,448,1285,7956,-6671,6/15/21,Andrew Martinez,Iowa,Woodberg,2812,1-921910-76-3
Energy Drink,Coca-Cola,Soft Drink,106,7045,1495,5550,9/23/21,Mark Bowen,Alabama,South Janet,41353,1-913900-02-9
Green Tea,Dr. Pepper,Tea,129,9598,7969,1629,10/30/22,Harold Hardy,Ohio,New Jessica,16308,1-941573-94-0
Coffee,Coca-Cola,Coffee,956,7030,7279,-249,1/14/23,Donald Brown,Vermont,Lake Gerald,97473,1-4434-7143-7
Green Tea,Dr. Pepper,Tea,856,1072,5013,-3941,1/24/21,Patricia Walker,North Dakota,Taylormouth,75926,1-05-125531-7
Black Tea,Dr. Pepper,Tea,530,2062,6581,-4519,7/8/22,Ashley Wood,Washington,Jamieshire,19925,1-4709-7244-1
Vodka,Dr. Pepper,Alcoholic,995,2115,3946,-1831,5/22/21,Jerry Maldonado,Alabama,East George,97796,1-208-67373-4
Coffee,Coca-Cola,Coffee,652,1817,3496,-1679,2/23/22,Alexander Dunn,Mississippi,Cathyton,53730,1-911186-73-6
Wine,Pepsi,Alcoholic,477,1585,6583,-4998,7/30/22,Jamie Vaughn,North Dakota,South Amyburgh,49821,1-5361-5755-4
Beer,Dr. Pepper,Alcoholic,412,8698,2500,6198,10/11/22,Shane Chavez,Utah,Barrettview,68030,0-691-08708-3
Lemonade,Dr. Pepper,Soft Drink,980,8807,6639,2168,4/4/22,Natalie Reed,Rhode Island,Tiffanyview,99271,0-607-11393-6
Cola,Pepsi,Soft Drink,915,4150,6184,-2034,9/25/22,Terry Barrett,Oklahoma,Zacharyside,91963,0-09-964046-5
Lemonade,Dr. Pepper,Soft Drink,567,3763,4639,-876,7/9/21,Thomas Anderson,Texas,North Marvin,7726,0-696-23361-4
Energy Drink,Dr. Pepper,Soft Drink,463,5307,3641,1666,6/1/20,Sydney Lopez,Colorado,Hernandezport,66643,0-03-576364-7
Wine,Pepsi,Alcoholic,959,9560,7202,2358,7/6/21,Eric Jones MD,Kentucky,West Thomasland,4744,0-927216-99-X
Lemonade,Pepsi,Soft Drink,119,1606,3518,-1912,10/14/20,Crystal Cox,North Carolina,South Samuel,29322,1-64236-751-6
Lemonade,Dr. Pepper,Soft Drink,305,4833,1568,3265,1/1/23,Mrs. Tracey Rice,Washington,Morrisstad,68061,1-113-46199-3
Cola,Coca-Cola,Soft Drink,546,3039,2483,556,4/19/21,Nathan Reyes,Colorado,South Jennifer,46360,0-370-38825-9
Coffee,Dr. Pepper,Coffee,731,1039,6889,-5850,9/21/20,Christopher Scott,Georgia,West Kimberly,22651,1-82047-086-5
Cola,Dr. Pepper,Soft Drink,222,7915,7504,411,6/6/22,Amy Nichols,North Dakota,West Richard,72096,0-915664-05-4
Cola,Pepsi,Soft Drink,524,6741,6192,549,8/6/21,Warren Ware,Washington,South Michael,19966,0-06-379989-8
Wine,Coca-Cola,Alcoholic,114,3272,3223,49,9/29/21,Monica Bass,South Dakota,South Christopherburgh,48952,1-933551-01-1
Green Tea,Dr. Pepper,Tea,393,9553,1543,8010,11/26/22,George Simpson,Colorado,West Williamtown,29264,1-5112-6628-7
Green Tea,Dr. Pepper,Tea,607,5886,5368,518,9/10/20,Garrett Young,Colorado,Brettfurt,72749,0-16-858475-1
Herbal Tea,Dr. Pepper,Tea,729,5892,7888,-1996,6/24/23,Dawn Hayes,Missouri,Port Jennifer,1940,1-61194-059-1
Energy Drink,Dr. Pepper,Soft Drink,596,3708,7610,-3902,7/18/21,Raymond Webster,Pennsylvania,New Joshuaville,82487,1-71798-084-8
Green Tea,Pepsi,Tea,425,2701,7917,-5216,1/8/20,Aimee Christian,Alabama,Port Gabriel,62835,0-382-44535-X
Vodka,Coca-Cola,Alcoholic,444,4808,3829,979,9/8/21,Brandon Carr,Louisiana,South Cody,27905,1-01-628619-8
Beer,Coca-Cola,Alcoholic,936,4216,4941,-725,3/5/21,Anna Burns,Arizona,West Bethton,63747,0-17-823529-6
Beer,Dr. Pepper,Alcoholic,769,5181,7024,-1843,3/29/21,Cassandra Thompson,Idaho,New Amybury,86044,1-02-983266-8
Wine,Dr. Pepper,Alcoholic,559,9335,5272,4063,1/25/22,Danielle Brown,Utah,New Erin,96892,1-4837-3532-X
Coffee,Coca-Cola,Coffee,268,5587,3646,1941,7/6/20,Mary Smith,Missouri,West Michael,89321,1-5469-5932-7
Cola,Coca-Cola,Soft Drink,122,4552,4339,213,6/29/20,Mary Mason,Georgia,Derrickfurt,71852,0-544-79948-8
Beer,Coca-Cola,Alcoholic,296,5893,6899,-1006,7/27/23,Dawn Hampton,Michigan,West Sherri,66028,0-222-71579-0
Herbal Tea,Dr. Pepper,Tea,909,4208,4342,-134,9/19/20,Paula Jones DVM,Michigan,New Benjamintown,5445,1-09-174837-3
Beer,Pepsi,Alcoholic,383,8333,6828,1505,9/18/20,Chelsea Rodriguez DDS,Ohio,North Williamshire,65205,1-57659-194-8
Lemonade,Pepsi,Soft Drink,842,7362,5899,1463,2/7/22,Tyler Gonzales,Alaska,East Samuelburgh,86230,0-379-73927-5
Black Tea,Dr. Pepper,Tea,418,4666,5177,-511,8/23/22,Debra Williams,Maine,New Laurenchester,5446,0-636-67483-5
Cola,Coca-Cola,Soft Drink,807,3771,4927,-1156,4/6/20,Taylor Martinez,Nebraska,Ivanmouth,68104,0-945860-35-8
Wine,Dr. Pepper,Alcoholic,484,9295,7388,1907,5/23/22,Jacob Rogers,Oklahoma,East Katherine,59360,1-330-21144-8
Green Tea,Coca-Cola,Tea,418,9488,4880,4608,12/20/22,Karen Phillips,Connecticut,Benjaminberg,3631,0-903805-65-0
Cola,Dr. Pepper,Soft Drink,738,7206,7604,-398,4/21/22,Bryan Garrett,Michigan,Lake Patriciashire,97584,0-261-04798-1
Vodka,Dr. Pepper,Alcoholic,616,3098,6037,-2939,8/7/22,Jason Montgomery,Ohio,Monicamouth,65328,0-14-432504-7
Cola,Dr. Pepper,Soft Drink,977,1654,3423,-1769,3/21/23,Kaitlin Tate,Pennsylvania,Michaelland,38293,1-217-43110-1
Green Tea,Dr. Pepper,Tea,160,2135,4756,-2621,2/11/22,Leah Fox,North Dakota,North Travisburgh,58197,1-4899-2898-7
Herbal Tea,Coca-Cola,Tea,380,4062,1837,2225,10/27/22,Joseph Hawkins,Wyoming,North Matthewland,3975,1-86050-500-7
Cola,Pepsi,Soft Drink,508,2423,3662,-1239,12/8/21,Melissa Martinez,Massachusetts,South Josephville,6173,0-18-880957-0
Beer,Coca-Cola,Alcoholic,835,5704,1995,3709,6/19/21,Benjamin Peters,Texas,North Stacy,68074,0-383-72631-X
Herbal Tea,Pepsi,Tea,181,5492,3625,1867,3/18/21,Jeffrey Wilson,Arkansas,Cunninghamport,98841,0-03-801968-X
Herbal Tea,Dr. Pepper,Tea,716,3108,2374,734,10/18/22,Cynthia Perkins,Maine,Lake Sara,3667,1-133-13064-X
Cola,Pepsi,Soft Drink,236,7080,3806,3274,12/16/22,John Moreno,Oklahoma,Johnsonmouth,58158,0-460-45332-7
Lemonade,Dr. Pepper,Soft Drink,396,5656,6201,-545,1/3/20,Monica Hunt,New Jersey,Emilyborough,48480,0-310-35919-8
Coffee,Dr. Pepper,Coffee,753,7130,4949,2181,9/20/22,David Mcclure,Louisiana,New Morgan,58327,0-548-50224-2
Vodka,Dr. Pepper,Alcoholic,526,2076,3228,-1152,12/11/20,Veronica Tyler,Wisconsin,Harrellside,48314,0-363-39655-1
Green Tea,Pepsi,Tea,195,3215,3811,-596,9/29/20,Kimberly Mendoza,Illinois,Port Joshuastad,32271,1-78545-203-7
Green Tea,Pepsi,Tea,499,7686,1414,6272,3/9/23,Joseph Brown,Pennsylvania,North Elijah,61110,0-349-40416-X
Herbal Tea,Pepsi,Tea,208,3188,1256,1932,10/12/21,Andrew Whitney,Colorado,Nicholsfort,29781,1-939570-68-9
Beer,Coca-Cola,Alcoholic,894,4400,1802,2598,1/18/22,Erika Edwards,Florida,Ortizport,57493,1-4826-4700-1
Coffee,Dr. Pepper,Coffee,330,1788,4403,-2615,11/3/20,Steven Whitaker,Alaska,Whiteshire,84144,0-8147-6971-3
Beer,Pepsi,Alcoholic,243,6806,1365,5441,5/20/21,Anna Hammond,Washington,Dwaynemouth,88354,1-315-80449-2
Herbal Tea,Pepsi,Tea,891,4637,5756,-1119,5/3/23,Christopher Wise,Maryland,South Jamesbury,58670,1-63364-681-5
Lemonade,Coca-Cola,Soft Drink,397,1640,1289,351,4/24/23,Teresa Cannon,Washington,West Jameschester,94083,1-961195-44-5
Lemonade,Coca-Cola,Soft Drink,372,7409,7056,353,7/13/22,Kathryn Swanson,North Dakota,Butlerside,28313,1-08-612486-3
Lemonade,Pepsi,Soft Drink,797,9197,5955,3242,6/21/20,Angel Young,Vermont,Youngmouth,71213,0-05-635356-1
Wine,Dr. Pepper,Alcoholic,502,7745,3176,4569,2/10/20,Kenneth Miller,West Virginia,Lucasview,32785,1-266-79787-4
Herbal Tea,Dr. Pepper,Tea,408,3058,1959,1099,6/7/23,Jeffrey Hughes,New Jersey,Lake Brendan,60581,1-86472-771-3
Green Tea,Pepsi,Tea,300,4075,6608,-2533,4/9/22,Jill Adams,Georgia,West Kellymouth,65535,1-81544-866-0
Energy Drink,Pepsi,Soft Drink,883,6947,959,5988,7/21/20,Jonathan Barnes,New Jersey,Shanefurt,66178,0-339-73568-6
Beer,Pepsi,Alcoholic,372,4846,6788,-1942,9/14/21,Caleb Paul,Nebraska,Youngborough,38291,1-883344-60-3
Herbal Tea,Pepsi,Tea,553,7799,3918,3881,3/11/21,Ashley Boyer,New Mexico,North Richard,6183,1-81282-480-7
Herbal Tea,Pepsi,Tea,937,6999,2104,4895,1/7/22,Amy Sims,Kansas,Jonesburgh,96801,0-88352-627-1
Vodka,Coca-Cola,Alcoholic,807,9658,6117,3541,10/14/21,Colton Neal,Maine,Lake William,88088,0-529-15560-5
Coffee,Dr. Pepper,Coffee,550,8358,4798,3560,8/23/22,Maria Turner,Delaware,West Jasonview,73158,1-928081-33-9
Wine,Pepsi,Alcoholic,350,3479,2313,1166,12/16/21,Caroline Graham,Minnesota,Morsemouth,40957,1-4160-6698-5
Black Tea,Coca-Cola,Tea,688,4648,1024,3624,2/4/21,Stephanie Porter,New Hampshire,Port Markfort,20026,0-8183-8844-7
Green Tea,Pepsi,Tea,257,1403,1462,-59,4/24/20,Amanda Schmidt,Pennsylvania,Port Ericshire,81073,1-4530-6361-7
Black Tea,Dr. Pepper,Tea,733,3227,7600,-4373,12/31/20,Jacob Cooper,Arizona,Camposshire,86494,0-09-670081-5
Cola,Pepsi,Soft Drink,459,6249,4095,2154,8/22/20,Teresa Sanders,New Hampshire,Jeantown,65061,0-481-59519-8
Cola,Pepsi,Soft Drink,304,9922,7139,2783,9/2/21,Emily Merritt,Louisiana,Port Steven,18780,0-7288-7682-5
Energy Drink,Dr. Pepper,Soft Drink,358,4543,7315,-2772,12/14/21,Emma Mcdonald,Georgia,South Ronald,22003,1-04-225356-0
Herbal Tea,Dr. Pepper,Tea,896,1341,7533,-6192,3/7/21,Sonia Berry,Arkansas,Douglasbury,26846,0-249-22705-3
Coffee,Pepsi,Coffee,197,4983,536,4447,3/8/20,James Mcfarland,California,Williamstown,57600,0-201-63063-X
Wine,Coca-Cola,Alcoholic,278,4326,5721,-1395,11/5/21,Diamond Price,Washington,Coxtown,2877,1-967555-22-2
Energy Drink,Coca-Cola,Soft Drink,475,1934,3683,-1749,7/8/20,Brianna Green,Kentucky,West William,84164,1-879628-20-1
Green Tea,Pepsi,Tea,200,4758,3619,1139,4/12/23,Michael Roberts,Alabama,Sheltontown,79727,1-4054-4665-X
Beer,Pepsi,Alcoholic,318,7572,7288,284,11/11/22,Timothy Martin,Pennsylvania,Cathyhaven,10065,1-163-98742-5
Herbal Tea,Dr. Pepper,Tea,734,3476,3806,-330,7/22/20,Joshua Wilson,Louisiana,Port Brian,87616,1-4171-0085-0
Vodka,Pepsi,Alcoholic,607,3575,3021,554,1/16/22,Lisa Collins,Arkansas,Mccallview,8207,1-4513-3849-X
Cola,Dr. Pepper,Soft Drink,612,1981,3354,-1373,12/13/20,Sierra Dickerson,Oregon,Harveyburgh,49961,1-298-76214-6
Lemonade,Dr. Pepper,Soft Drink,116,8580,2343,6237,12/21/22,Anna Carroll,Oklahoma,Smithmouth,96843,1-161-10326-0
Wine,Coca-Cola,Alcoholic,816,2109,5983,-3874,3/27/23,Amanda Oconnell,Michigan,Floresville,38187,1-04-665978-2
Coffee,Coca-Cola,Coffee,233,7316,3998,3318,10/29/21,Jacob Carney,Illinois,Richardville,3433,0-347-26416-6
Coffee,Pepsi,Coffee,782,8137,7448,689,7/28/20,Maria Carson,Virginia,Lambland,99683,0-01-200914-8
Vodka,Pepsi,Alcoholic,457,8444,1998,6446,5/11/22,Tammy Walton,North Dakota,Kevinfort,48372,1-244-14251-4
Herbal Tea,Dr. Pepper,Tea,455,2814,2960,-146,7/22/23,Willie Miller,New Hampshire,Beckview,46938,0-357-93066-5
Green Tea,Coca-Cola,Tea,886,7940,5089,2851,7/15/22,Paul Francis,Oklahoma,East Kevinshire,73070,1-59312-688-3
Lemonade,Coca-Cola,Soft Drink,643,4340,512,3828,1/22/21,Samuel Benitez,Montana,North Jeffreymouth,19793,0-336-35824-5
Wine,Coca-Cola,Alcoholic,706,2415,3889,-1474,11/2/22,Debbie Martin,Utah,Wilsonton,83297,1-06-505976-0
Wine,Dr. Pepper,Alcoholic,110,2770,6734,-3964,4/3/21,Brandy Gallagher,Kansas,Sawyertown,19409,1-904864-53-8
Wine,Dr. Pepper,Alcoholic,895,7697,3866,3831,6/10/23,Kevin Andrade,North Dakota,East Alexandrashire,29121,1-4200-2387-X
Lemonade,Dr. Pepper,Soft Drink,864,8567,4277,4290,7/25/23,Matthew Booth,Oregon,Mcknightshire,80461,0-348-89004-4
Lemonade,Coca-Cola,Soft Drink,966,7993,2885,5108,2/19/22,Leslie Johnson,Kentucky,Rosalesfort,1121,1-06-966652-1
Wine,Pepsi,Alcoholic,240,8123,2048,6075,10/30/20,Kathy Palmer,Pennsylvania,East Jennifer,59829,1-315-98274-9
Beer,Coca-Cola,Alcoholic,509,3486,3678,-192,2/25/20,Megan Murphy,New Jersey,South Lisa,32612,0-9847153-9-8
